mechanism,capability,disposition,verified_scope,boundary,model_evidence,evidence
QBS,weight_profile:Q4_K,implemented,RTL profile regression,activation=Q8_K,Qwen2.5-1.5B-Instruct-Q4_K_M;TinyLlama-1.1B-Chat-Q4_K_M;SmolLM2-135M-Instruct-Q4_K_M,verification/qbs/rtl_build/run.log
QBS,weight_profile:Q5_K,implemented,RTL profile regression,activation=Q8_K,not observed in selected models,verification/qbs/rtl_build/run.log
QBS,weight_profile:Q6_K,implemented,RTL profile regression,activation=Q8_K,Qwen2.5-1.5B-Instruct-Q4_K_M;TinyLlama-1.1B-Chat-Q4_K_M;SmolLM2-135M-Instruct-Q4_K_M,verification/qbs/rtl_build/run.log
QBS,weight_profile:Q3_K,implemented,RTL profile regression,activation=Q8_K,not observed in selected models,verification/qbs/rtl_build/run.log
QBS,weight_profile:Q8_0_WEIGHT,implemented,RTL profile regression,activation=Q8_0,SmolLM2-135M-Instruct-Q4_K_M,verification/qbs/rtl_build/run.log
QBS,weight_profile:Q4_0,implemented,RTL profile regression,activation=Q8_0,not observed in selected models,verification/qbs/rtl_build/run.log
QBS,weight_profile:Q2_K,implemented,RTL profile regression,activation=Q8_K,not observed in selected models,verification/qbs/rtl_build/run.log
QBS,weight_profile:Q5_0,implemented,RTL profile regression,activation=Q8_0,SmolLM2-135M-Instruct-Q4_K_M,verification/qbs/rtl_build/run.log
QBS,weight_profile:IQ4_NL,implemented,RTL profile regression,activation=Q8_0,not observed in selected models,verification/qbs/rtl_build/run.log
QBS,activation_context,implemented,Qwen trace plus controlled RTL,count=1; M<=1; K_blocks<=16; profiles=Q8_K; layouts=ROW_MAJOR,Qwen attention_qkv and ffn_gate_up,hardware/qbs_cross_op_rtl_ablation_20260831/summary.json
AKV-v2,tested_shape_matrix,admitted,scalar-reference and RVV functional matrix,D=64/128; GQA=1/4/6/8; KV=16/63/64/65/128/256/1024,Qwen D128/G6; TinyLlama D64/G8,hardware/akv_v2_shape_spike_matrix_20260831_managed/summary.json
AKV-v2,GQA=3,ordinary_RVV_fallback,real model Prefill+Decode,unsupported GQA ratio; no partial AKV execution,"60 candidates, 60 fallbacks",hardware/akv_jobs/qemu_model_combined_fixedprompt_smollm2_20260831/model_closure_final/dynamic_summary.json
AKV-v2,Prefill,ordinary_RVV_fallback,real model execution,current AKV-v2 profile admits Decode only,Qwen2.5-1.5B-Instruct-Q4_K_M:28;TinyLlama-1.1B-Chat-Q4_K_M:22,hardware/akv_jobs/qemu_model_combined_fixedprompt_qwen_20260831/model_closure_lifetime/dynamic_summary.json;hardware/akv_jobs/qemu_model_combined_fixedprompt_tinyllama_20260831/model_closure_final/dynamic_summary.json
RVV,fallback_path,preserved,representative RTL leaf,used whenever QBS/AKV capability or full contract is not admitted,operator/decode/attention_core/rvv zero-mismatch PASS,hardware/qbs_akv_final_regress_rvv/decode_attention_core_rvv_kv16_20260831_145528/ara.log
